store_no,year,revenue,store_size,location_type,opening_date_first,population_within_5km,train_stations_within_500m,public_transport_stop_within_50m,public_transport_stop_within_100m,bank_atm_within_5km,atm_within_5km,shop_within_5km,supermarkets_within_5km,rest_cafe_pub_within_5km,parking_spaces_within_5km,bank_atm_within_500m,atm_within_500m,proportion_5th_income_quintile,monthly_rent_per_sqm
1791,2016,314757,305,Main shopping street,28/10/2004,16166,0,0,0,10,1,87,9,31,77,6,0,0.203581527,8.524590164
1789,2016,310399,219,Main shopping street,28/10/2004,120814,2,6,6,17,4,333,17,104,289,2,0,0.432122905,15.75342466
1790,2016,276936,241,Outskirts / residential,28/10/2004,17435,0,0,0,16,3,196,13,66,181,6,0,0.197540984,5.124481328
1794,2016,331045,285,Outskirts / residential,02/11/2004,51620,0,0,0,22,3,355,27,121,301,9,1,0.161277202,9.052631579
1792,2016,282108,152,Main shopping street,02/11/2004,616523,15,0,1,192,104,2968,137,1595,853,16,5,0.265987705,19.73684211
1793,2016,280751,146,Main shopping street,02/11/2004,619479,19,0,0,265,151,3870,168,2154,784,10,5,0.189705514,
1795,2016,341626,328,Main shopping street,04/11/2004,56825,0,0,0,19,3,170,13,76,495,4,0,0.278986739,12.34756098
1799,2016,314747,261,Main shopping street,08/11/2004,13647,2,0,0,5,1,54,9,20,86,2,0,0.189655172,9.463601533
1781,2016,406776,302,Specialist retail center,09/11/2004,20376,2,0,0,5,2,76,4,27,133,5,2,0.111604312,5.629139073
1801,2016,490175,260,Main shopping street,11/11/2004,129467,0,1,4,25,12,243,16,87,533,6,4,0.282553036,11.15384615
1779,2016,289886,340,Main shopping street,11/11/2004,8142,0,0,0,2,0,22,2,6,13,2,0,0.170731707,5.642558824
1803,2016,421046,226,Main shopping street,15/11/2004,12232,2,4,4,6,0,73,9,30,65,4,0,0.183391003,5.752212389
1804,2016,308887,280,Main shopping street,15/11/2004,28371,1,0,0,12,1,163,12,58,166,7,1,0.240548554,11.67135714
1807,2016,438959,251,Main shopping street,18/11/2004,32415,1,0,2,16,1,257,21,104,163,9,0,0.158743169,9.50689243
1808,2016,422406,429,Main shopping street,18/11/2004,280872,0,4,6,44,27,413,51,158,611,4,1,0.443844343,15.04386946
1809,2016,417839,236,Main shopping street,22/11/2004,33320,0,0,2,11,3,72,11,32,112,5,2,0.33484252,9.322033898
1851,2016,495633,300,Specialist retail center,24/11/2004,240674,0,0,4,22,11,531,47,291,377,1,0,0.092210145,10.34
1852,2016,396082,323,Outskirts / residential,25/11/2004,8416,0,0,0,5,1,65,7,33,69,3,0,0.306748466,7.900928793
1856,2016,344485,381,Shopping center,25/11/2004,19949,0,0,1,4,1,35,5,20,41,2,1,0.116915423,6.328503937
1854,2016,311062,295,Main shopping street,25/11/2004,7111,0,0,0,2,1,28,4,23,50,2,1,0.212665406,4.406779661
1812,2016,245261,221,Specialist retail center,25/11/2004,66836,0,0,1,10,4,110,10,31,96,1,0,0.245860927,7.692307692
1811,2016,185215,150,Outskirts / residential,25/11/2004,84311,1,0,1,18,7,246,20,70,220,9,2,0.301720075,
1855,2016,549653,319,Main shopping street,29/11/2004,15149,3,0,0,4,2,44,6,27,70,4,2,0.226577813,6.269592476
1815,2016,332206,278,Shopping center,02/12/2004,52245,2,0,2,18,2,168,14,72,600,6,1,0.278844289,
1861,2016,295686,270,Main shopping street,02/12/2004,263763,0,0,0,86,30,2139,71,871,777,4,0,0.135059641,7.592592593
1816,2016,268423,287,Main shopping street,02/12/2004,25565,0,0,1,13,5,196,16,72,256,4,1,0.206075534,6.358885017
1817,2016,164970,173,Main shopping street,02/12/2004,6976,2,0,0,1,0,9,2,8,32,1,0,0.286524823,
1857,2016,396448,288,Main shopping street,13/12/2004,320197,0,1,6,53,26,860,57,292,937,7,2,0.071262636,17.51736111
1827,2016,233275,131,Pedestrian zone,13/12/2004,42461,4,0,0,13,6,179,10,90,356,3,1,0.225306417,12.26793893
1867,2016,442554,363,Specialist retail center,13/01/2005,36634,0,0,0,22,11,91,8,37,97,2,1,0.256578947,12.26446281
1864,2016,399316,314,Pedestrian zone,13/01/2005,31177,0,0,3,18,8,116,22,55,143,9,2,0.101107538,14.30732484
1865,2016,312158,273,Shopping center,13/01/2005,62997,0,0,0,18,3,262,17,109,190,0,0,0.209335219,7.875457875
1870,2016,357149,375,Specialist retail center,17/01/2005,20039,0,0,0,4,1,28,6,14,25,1,1,0.206718346,7.2
1868,2016,449747,232,Pedestrian zone,24/02/2005,201007,1,2,3,13,5,109,18,70,557,3,1,0.11798238,9.051724138
1869,2016,405388,304,Specialist retail center,24/02/2005,14180,0,0,0,2,0,8,2,15,27,2,0,0.127572016,5.592105263
1859,2016,239857,310,Main shopping street,24/02/2005,42001,1,0,0,6,2,124,9,48,166,3,1,0.321354812,
1875,2016,450235,299,Main shopping street,28/02/2005,164981,0,0,0,37,12,602,28,175,645,5,1,0.166583707,10.17391304
1858,2016,384652,282,Main shopping street,28/02/2005,193759,1,0,3,41,19,506,35,216,659,2,1,0.160533212,8.687943262
1873,2016,313793,245,Main shopping street,28/02/2005,21195,1,0,0,5,1,37,7,13,39,4,1,0.186640472,5.785714286
1874,2016,312463,364,Outskirts / residential,28/02/2005,45248,0,0,0,19,9,178,23,115,218,3,1,0.232472325,6.868131868
1878,2016,414019,315,Specialist retail center,03/03/2005,323610,2,0,0,22,10,396,45,202,246,4,2,0.1650222,13.33333333
1876,2016,271422,291,Outskirts / residential,03/03/2005,16644,0,0,2,6,0,72,8,38,70,3,0,0.238325282,
1877,2016,314515,320,Outskirts / residential,07/03/2005,6892,2,0,0,4,0,82,7,23,66,3,0,0.244962884,7.5
1879,2016,308739,225,Main shopping street,10/03/2005,193643,0,0,2,32,6,321,20,138,319,4,0,0.301327088,11.11111111
1880,2016,295320,284,Outskirts / residential,10/03/2005,18587,2,2,2,16,8,152,9,63,132,9,4,0.201290323,7.042253521
1863,2016,642274,294,Specialist retail center,17/03/2005,16953,0,0,2,17,3,194,14,66,182,3,0,0.198113208,9.863945578
1883,2016,514465,285,Main shopping street,24/03/2005,8546,0,0,0,8,4,62,5,34,117,5,2,0.218421053,10.52631579
1885,2016,379224,323,Shopping center,24/03/2005,64831,3,0,1,17,5,344,15,112,208,8,2,0.299542184,
1887,2016,355621,193,Main shopping street,24/03/2005,39910,0,2,2,6,0,104,10,48,136,2,0,0.211250983,12.83492228
1888,2016,496324,293,Outskirts / residential,14/04/2005,23201,0,0,0,8,0,78,7,43,98,2,0,0.231187291,9.215017065
1889,2016,471260,289,Pedestrian zone,14/04/2005,45695,2,0,0,8,3,104,12,37,131,5,1,0.161361749,9.69633218
1890,2016,440627,322,Shopping center,14/04/2005,15058,0,0,0,5,1,68,8,31,41,3,1,0.266666667,11.78521739
1894,2016,417419,335,Specialist retail center,14/04/2005,17814,0,0,0,8,2,100,6,24,68,1,1,0.138741917,5.853731343
1891,2016,664235,344,Specialist retail center,18/04/2005,23801,1,0,0,11,1,167,9,62,284,0,0,0.251499769,7.848837209
1892,2016,717684,364,Specialist retail center,21/04/2005,12189,0,0,0,6,0,68,7,23,97,0,0,0.229521492,
1896,2016,397976,325,Main shopping street,02/05/2005,9780,0,0,0,3,0,21,4,29,49,3,0,0.216049383,6.177261538
1895,2016,333984,298,Main shopping street,02/05/2005,50660,0,0,3,7,4,95,8,47,136,4,2,0.257475661,13.08724832
1898,2016,285521,224,Pedestrian zone,02/05/2005,15415,2,0,0,3,1,99,8,43,77,3,1,0.167222054,7.616071429
1882,2016,298426,297,Specialist retail center,09/05/2005,11659,1,0,0,3,0,20,6,19,60,1,0,0.22406639,8.080808081
1902,2016,682888,415,Pedestrian zone,12/05/2005,29458,0,0,0,8,0,177,13,73,191,5,0,0.087507926,7.228915663
1908,2016,446036,381,Specialist retail center,17/05/2005,13705,0,0,0,6,2,66,7,26,91,2,1,0.209951456,10.36674541
1907,2016,365122,334,Outskirts / residential,17/05/2005,78442,0,0,1,21,6,352,18,130,215,2,0,0.241436579,8.419491018
1904,2016,289184,305,Pedestrian zone,17/05/2005,20144,0,0,0,7,2,126,11,31,85,6,1,0.161458333,10.81967213
1906,2016,441973,327,Outskirts / residential,18/05/2005,74866,0,0,1,11,2,203,23,58,207,1,0,0.192586624,9.174311927
1909,2016,782739,308,Specialist retail center,19/05/2005,41271,1,1,2,12,6,95,8,49,185,3,3,0.308376575,9.253246753
1910,2016,467417,270,Specialist retail center,23/05/2005,6952,0,0,0,5,0,61,6,24,59,0,0,0.21875,11.85185185
1911,2016,368531,287,Specialist retail center,23/05/2005,9465,0,0,0,3,0,46,2,27,86,0,0,0.277909739,7.317073171
1912,2016,327595,196,Outskirts / residential,23/05/2005,38551,2,0,0,24,10,155,18,77,275,14,7,0.266646671,8.775510204
1914,2016,272668,287,Outskirts / residential,27/05/2005,21510,0,2,2,4,0,80,6,31,69,2,0,0.185926773,7.482299652
1915,2016,252343,237,Outskirts / residential,27/05/2005,5444,0,0,0,3,0,17,3,8,28,3,0,0.431067961,4.481012658
1916,2016,487795,180,Main shopping street,30/05/2005,27338,1,0,0,10,3,71,8,35,124,3,1,0.236520489,6.388888889
1918,2016,240354,361,Specialist retail center,30/05/2005,8948,0,0,0,5,3,43,8,27,95,3,2,0.20951586,
1919,2016,296741,194,Pedestrian zone,06/06/2005,53272,0,0,0,32,15,333,20,133,361,1,0,0.250769231,10.20618557
1922,2016,351399,339,Main shopping street,09/06/2005,15125,2,2,2,8,2,69,8,28,126,7,2,0.167473379,7.669616519
1924,2016,413415,316,Specialist retail center,13/06/2005,15728,0,0,0,8,1,141,9,32,80,4,0,0.111413043,6.487341772
1923,2016,302393,338,Main shopping street,13/06/2005,8712,0,0,0,7,1,37,4,19,28,4,1,0.231620553,4.393491124
1920,2016,227755,280,Main shopping street,13/06/2005,5611,0,0,0,3,0,19,2,4,14,3,0,0.177474403,2.857142857
1927,2016,323443,275,Main shopping street,20/06/2005,7481,0,0,0,1,0,10,3,11,33,1,0,0.250539957,7.0528
1930,2016,369755,239,Main shopping street,23/06/2005,27908,0,0,0,8,0,126,11,54,132,2,0,0.255121043,5.439330544
1931,2016,205999,238,Pedestrian zone,23/06/2005,54371,1,0,0,20,4,254,16,92,229,5,2,0.315576782,5.882352941
1929,2016,585113,335,Main shopping street,27/06/2005,39840,0,0,0,17,4,182,19,98,150,6,3,0.22809054,18.50746269
1932,2016,477587,278,Outskirts / residential,30/06/2005,21156,0,0,0,2,0,8,0,4,15,0,0,0.257249071,7.771582734
1933,2016,442060,276,Outskirts / residential,30/06/2005,9751,0,0,0,2,0,32,5,22,47,2,0,0.270633397,8.152173913
1928,2016,394147,344,Main shopping street,30/06/2005,13778,0,0,0,6,0,42,7,29,91,3,0,0.233895706,6.104651163
1940,2016,301292,204,Specialist retail center,30/06/2005,19040,0,0,0,13,2,83,8,39,101,0,0,0.215441176,
1936,2016,339384,302,Specialist retail center,04/07/2005,9300,0,0,1,8,5,38,7,13,34,8,5,0.085781434,8.771523179
1939,2016,475815,323,Outskirts / residential,14/07/2005,40424,2,0,1,17,7,117,11,67,190,7,5,0.242125445,6.191950464
1941,2016,445542,230,Pedestrian zone,14/07/2005,142985,2,4,6,20,2,288,27,137,426,3,0,0.242937853,9
1935,2016,244072,249,Outskirts / residential,01/08/2005,44441,0,0,0,12,3,72,5,48,214,0,0,0.333668848,8.032128514
1837,2016,229541,760,Unknown,10/05/2013,76225,0,0,6,37,7,657,44,231,330,15,2,0.178786863,
1945,2016,347609,333,Pedestrian zone,11/08/2005,25954,0,0,4,7,1,176,13,73,197,4,0,0.087079878,11.41501502
1946,2016,435764,298,Pedestrian zone,18/08/2005,5871,2,0,0,5,1,42,10,19,58,3,0,0.111392405,7.214765101
1944,2016,345709,249,Main shopping street,18/08/2005,45859,2,0,0,6,2,106,9,39,112,2,0,0.285235921,12.04819277
1943,2016,338219,366,Main shopping street,25/08/2005,42291,0,0,0,7,1,62,6,35,69,5,1,0.193717277,5.87431694
1942,2016,778569,398,Pedestrian zone,29/08/2005,17809,0,0,1,11,3,85,6,46,60,4,0,0.21976593,8.291457286
1948,2016,327164,317,Main shopping street,08/09/2005,175608,0,2,4,46,11,776,50,228,1202,3,0,0.126459854,11.67192429
1952,2016,355514,290,Outskirts / residential,12/09/2005,10426,2,0,2,4,0,67,7,29,104,2,0,0.232525952,7.172413793
1953,2016,227392,251,Pedestrian zone,12/09/2005,14283,0,0,4,2,0,30,3,14,19,2,0,0.240105541,7.171314741
1950,2016,322198,283,Shopping center,26/09/2005,219156,0,0,0,61,24,916,56,411,645,1,0,0.149896623,7.116572438
1947,2016,227389,259,Main shopping street,04/10/2005,85110,0,0,3,60,28,682,27,301,345,23,11,0.075290096,
1957,2016,300519,302,Main shopping street,13/10/2005,30169,0,0,1,8,1,217,13,59,167,4,1,0.154428713,8.112582781
1956,2016,413627,271,Specialist retail center,17/10/2005,9947,0,0,0,4,1,37,4,16,44,3,1,0.203848895,7.498154982
1958,2016,412337,296,Specialist retail center,10/11/2005,6030,0,0,0,3,0,44,5,13,47,2,0,0.203910615,7.942567568
1955,2016,335931,326,Specialist retail center,10/11/2005,12717,0,3,4,6,2,86,5,43,53,3,0,0.13119875,9.195398773
1964,2016,308748,233,Shopping center,14/11/2005,48947,0,0,6,30,5,401,26,116,398,1,0,0.080559132,5.47639485
1961,2016,419963,306,Specialist retail center,15/11/2005,22835,0,0,0,5,2,125,12,51,207,0,0,0.106896552,10.24509804
1965,2016,540274,386,Outskirts / residential,21/11/2005,81980,0,0,0,17,7,185,18,86,276,8,5,0.254959282,8.937823834
1966,2016,346776,302,Specialist retail center,21/11/2005,43162,0,1,6,6,2,98,11,48,91,0,0,0.265458422,10.08278146
1959,2016,366823,324,Main shopping street,24/11/2005,15693,0,0,0,10,3,84,9,38,77,8,3,0.214113873,7.016203704
1963,2016,460196,348,Main shopping street,28/11/2005,73843,5,0,0,40,17,414,31,182,621,7,2,0.249709977,7.471264368
1971,2016,631538,283,Pedestrian zone,05/12/2005,16903,0,0,2,7,3,85,7,52,94,3,0,0.252055921,10.42402827
1972,2016,560674,384,Main shopping street,05/12/2005,233533,7,0,0,50,17,550,36,308,506,8,1,0.210145863,12.5546875
1970,2016,318395,265,Main shopping street,05/12/2005,28524,0,0,2,6,3,125,9,36,109,3,1,0.511981957,
1968,2016,332747,261,Main shopping street,12/12/2005,63925,2,0,0,6,1,121,8,41,141,4,0,0.168266516,9.578544061
1976,2016,417793,372,Outskirts / residential,13/02/2006,53197,2,0,0,19,3,224,22,110,149,2,0,0.235621521,4.704301075
1978,2016,195994,292,Pedestrian zone,23/02/2006,17559,0,0,0,9,3,118,11,39,107,5,0,0.097715736,
1973,2016,360956,288,Main shopping street,02/03/2006,148092,0,0,5,52,23,883,41,300,875,7,2,0.071007801,7.986111111
1979,2016,221111,384,Shopping center,02/03/2006,12526,0,0,0,4,1,30,7,14,82,0,0,0.086858686,1.822916667
1982,2016,446198,299,Main shopping street,13/03/2006,31776,0,1,2,10,1,102,14,33,127,7,1,0.204407847,9.280936455
1984,2016,370944,260,Pedestrian zone,13/03/2006,15055,4,0,0,4,0,31,4,50,64,3,0,0.215179969,10.57692308
1980,2016,305397,272,Main shopping street,13/03/2006,17881,2,0,0,9,1,73,9,19,52,4,1,0.188544153,
1983,2016,294821,233,Main shopping street,13/03/2006,7888,0,0,0,2,0,56,4,23,29,2,0,0.177314211,6.43776824
1981,2016,239055,267,Main shopping street,13/03/2006,12153,1,0,0,4,0,50,6,14,103,2,0,0.158201499,7.958801498
1985,2016,229113,385,Main shopping street,13/03/2006,70517,0,0,0,10,2,150,9,51,147,2,0,0.293939394,6.753246753
1977,2016,420302,330,Main shopping street,16/03/2006,291682,0,0,6,107,45,860,64,790,794,4,1,0.185238487,13.63636364
1987,2016,317052,264,Specialist retail center,30/03/2006,28284,0,0,0,6,2,113,9,38,109,0,0,0.369655892,9.556818182
1989,2016,321755,294,Outskirts / residential,10/04/2006,5755,0,0,0,1,1,15,4,10,10,1,1,0.188654354,4.25170068
1986,2016,464459,295,Main shopping street,13/04/2006,13142,1,1,2,5,2,35,4,16,65,3,1,0.172342621,10.89830508
1994,2016,462509,319,Pedestrian zone,13/04/2006,26240,0,0,0,9,4,125,9,57,103,5,1,0.304229724,10.03134796
1991,2016,658688,294,Main shopping street,18/04/2006,43916,1,0,0,44,16,571,33,200,263,14,4,0.151462496,17.00680272
1995,2016,306324,324,Main shopping street,27/04/2006,7019,0,0,0,2,0,49,5,25,37,2,0,0.186923722,3.404320988
1996,2016,476971,445,Pedestrian zone,02/05/2006,49431,0,4,4,34,10,485,28,150,253,7,0,0.0605613,
2000,2016,417911,263,Shopping center,11/05/2006,147606,2,0,6,79,42,538,65,491,337,2,0,0.145180723,10.94479087
1993,2016,405364,322,Specialist retail center,11/05/2006,7713,0,0,0,3,0,47,3,28,44,1,0,0.104743083,7.142857143
1998,2016,260589,295,Specialist retail center,11/05/2006,23276,1,0,0,4,0,45,7,26,83,0,0,0.189846642,
2001,2016,322138,421,Main shopping street,15/05/2006,9655,0,0,0,6,1,47,7,22,73,1,0,0.227272727,4.84608076
1992,2016,312839,275,Pedestrian zone,15/05/2006,14311,3,0,2,11,4,111,7,38,180,5,2,0.194078947,
1997,2016,359634,329,Main shopping street,18/05/2006,95951,0,0,0,44,23,485,34,221,2513,5,0,0.340600316,12.76595745
1999,2016,591411,328,Main shopping street,12/06/2006,329036,0,8,8,72,36,921,60,405,1113,3,2,0.105680191,10.21341463
2004,2016,286987,380,Outskirts / residential,12/06/2006,7223,0,0,0,4,1,71,6,38,58,2,0,0.219854178,7.236842105
2002,2016,282636,311,Pedestrian zone,12/06/2006,23492,0,0,2,12,4,131,10,45,122,4,2,0.170972644,6.752411576
2003,2016,591163,345,Outskirts / residential,16/06/2006,20130,1,0,3,11,3,270,17,95,125,6,1,0.162857143,8.260869565
2011,2016,275873,245,Outskirts / residential,19/06/2006,11402,1,0,0,6,3,108,6,45,352,4,1,0.117021277,4.897959184
2006,2016,250959,414,Main shopping street,19/06/2006,17789,0,0,0,13,5,139,21,50,181,3,1,0.2,5.685990338
2005,2016,291599,306,Specialist retail center,03/07/2006,31024,1,0,0,12,5,118,14,46,145,2,1,0.292468619,8.035947712
2014,2016,284202,396,Pedestrian zone,13/07/2006,7923,0,0,0,3,0,35,4,20,56,3,0,0.257701422,6.792929293
2012,2016,203699,270,Pedestrian zone,17/07/2006,14764,0,0,0,2,0,21,6,10,33,1,0,0.127305715,5.555555556
2013,2016,370063,333,Specialist retail center,27/07/2006,8959,0,0,0,4,1,40,4,27,46,2,0,0.23156682,8.06966967
2017,2016,436191,418,Main shopping street,14/08/2006,53071,0,0,0,18,6,175,13,94,179,3,1,0.325107716,4.66507177
2019,2016,350850,378,Specialist retail center,14/08/2006,4324,0,2,2,4,0,7,2,12,8,0,0,0.127710843,3.396825397
2020,2016,324709,289,Pedestrian zone,14/08/2006,65802,3,0,4,19,3,106,19,49,208,9,2,0.162256267,13.84083045
2016,2016,256938,340,Main shopping street,14/08/2006,57126,1,2,2,6,2,57,13,39,129,2,0,0.247486694,6.397058824
2023,2016,444515,267,Specialist retail center,17/08/2006,8176,0,0,0,3,1,17,2,7,13,0,0,0.208092486,6.980337079
2018,2016,638415,353,Main shopping street,28/08/2006,167372,0,0,0,14,5,218,28,92,410,3,1,0.13150358,10.62322946
2009,2016,607343,511,Pedestrian zone,14/09/2006,41964,0,0,0,19,9,257,17,93,194,9,3,0.11141366,7.502935421
2026,2016,370471,293,Shopping center,12/10/2006,202795,0,0,0,22,11,516,46,150,506,2,0,0.091696655,11.94808874
2033,2016,305492,402,Main shopping street,12/10/2006,5658,0,0,0,3,1,14,3,8,18,3,1,0.275797373,3.032338308
2028,2016,334861,327,Specialist retail center,16/10/2006,17069,0,0,1,5,2,49,6,34,64,0,0,0.192805755,9.174311927
2027,2016,624864,433,Shopping center,13/11/2006,49363,2,0,1,23,5,299,16,151,264,4,2,0.179514256,13.83371824
2036,2016,540378,395,Main shopping street,13/11/2006,27906,0,0,0,13,1,144,14,70,59,7,1,0.226467331,8.860759494
2039,2016,494115,445,Main shopping street,20/11/2006,27187,0,0,0,17,1,212,13,93,150,6,0,0.161135546,9.683146067
2029,2016,638070,384,Main shopping street,27/11/2006,10339,0,0,0,5,0,83,5,25,61,3,0,0.218080149,10.9375
2037,2016,463194,369,Pedestrian zone,27/11/2006,63729,2,0,0,18,6,280,18,91,202,5,2,0.268867925,14.6504065
2030,2016,381242,363,Main shopping street,27/11/2006,233100,0,0,6,70,23,958,54,452,661,6,0,0.137580019,8.533057851
2038,2016,380510,690,Pedestrian zone,27/11/2006,12966,0,0,0,9,3,126,7,44,101,8,3,0.195742164,3.806646526
2045,2016,563676,465,Outskirts / residential,30/11/2006,17385,0,2,2,4,0,47,6,26,39,0,0,0.244610282,5.376344086
2035,2016,284781,332,Specialist retail center,30/11/2006,6430,0,0,0,3,0,27,4,12,136,2,0,0.210622711,3.403614458
2048,2016,274999,320,Specialist retail center,30/11/2006,5214,0,0,0,2,0,27,4,12,37,2,0,0.298245614,5.8125
2047,2016,409357,315,Specialist retail center,04/12/2006,6102,0,0,0,2,0,39,6,12,30,0,0,0.230068337,8.879365079
2040,2016,437702,471,Specialist retail center,11/12/2006,5361,0,0,0,4,1,30,3,13,47,3,1,0.312757202,5.444585987
2044,2016,323161,289,Outskirts / residential,14/12/2006,14468,0,1,1,4,2,27,8,16,55,4,2,0.191623037,6.505190311
2046,2016,308629,327,Main shopping street,15/01/2007,106616,2,0,0,23,5,311,26,120,278,4,2,0.321067821,8.333302752
2034,2016,215270,350,Main shopping street,22/01/2007,8684,0,0,0,0,0,1,0,1,4,0,0,0.185387132,2.857142857
2056,2016,666380,453,Pedestrian zone,15/02/2007,31302,2,0,2,15,3,184,19,83,140,5,0,0.166991047,
2057,2016,415711,316,Main shopping street,15/02/2007,84868,0,0,2,34,14,253,24,144,423,7,5,0.250046236,11.74050633
2051,2016,243648,365,Outskirts / residential,19/02/2007,21779,2,3,3,7,1,72,8,25,72,0,0,0.299292214,4.657534247
2042,2016,273488,366,Outskirts / residential,26/02/2007,4316,2,0,0,3,0,20,2,5,70,3,0,0.246753247,3.825136612
2055,2016,447856,404,Main shopping street,01/03/2007,23650,1,0,0,11,1,214,11,80,206,6,1,0.168247278,6.717821782
2060,2016,253113,292,Outskirts / residential,05/03/2007,5789,0,0,0,2,1,16,4,17,16,2,1,0.141826923,5.821917808
2054,2016,448534,327,Pedestrian zone,08/03/2007,730219,1,0,7,146,120,1646,120,1084,546,3,2,0.098865415,7.636085627
2050,2016,445176,292,Specialist retail center,15/03/2007,13417,2,1,1,5,0,70,9,28,128,2,0,0.104766894,9.855719178
2059,2016,526907,322,Main shopping street,19/03/2007,253273,0,0,0,48,28,931,42,312,767,11,4,0.079004993,11.57608696
2053,2016,384302,348,Shopping center,16/04/2007,30073,0,0,0,9,3,123,10,51,202,2,1,0.099873578,9.419741379
2065,2016,622165,340,Main shopping street,19/04/2007,33702,2,0,2,11,2,101,9,65,100,6,1,0.182922596,12.35294118
2064,2016,476042,367,Pedestrian zone,19/04/2007,16408,2,0,0,7,0,59,5,41,126,3,0,0.247774481,10.35422343
2066,2016,374365,339,Specialist retail center,19/04/2007,13168,2,0,0,4,0,53,7,19,49,0,0,0.184210526,6.489675516
2063,2016,324955,391,Specialist retail center,19/04/2007,20827,2,0,4,3,1,101,8,46,79,0,0,0.167089679,8.95140665
2058,2016,297641,224,Main shopping street,26/04/2007,29694,5,0,14,17,5,146,15,101,118,5,1,0.209908735,8.035714286
2062,2016,564170,322,Outskirts / residential,03/05/2007,25734,3,0,5,10,5,139,8,57,258,4,2,0.244871235,9.937888199
2052,2016,562550,317,Shopping center,03/05/2007,89227,0,0,0,43,16,507,36,259,1491,3,3,0.122670807,10.56782334
2067,2016,365816,341,Specialist retail center,10/05/2007,11206,0,0,0,6,0,89,9,39,105,0,0,0.165467626,11.85363636
2061,2016,368757,321,Pedestrian zone,14/05/2007,126367,0,1,4,12,0,165,15,79,267,2,0,0.126349577,10.43613707
2071,2016,365194,339,Pedestrian zone,14/05/2007,19221,1,0,0,3,0,24,7,10,42,3,0,0.227672956,10.02949853
2075,2016,355566,402,Main shopping street,14/05/2007,6774,0,0,0,4,1,61,6,22,56,1,0,0.150594452,4.60199005
2072,2016,527644,311,Pedestrian zone,21/05/2007,23233,0,0,0,3,0,28,9,23,67,3,0,0.331294118,11.97749196
2070,2016,312522,372,Main shopping street,21/05/2007,6546,0,0,6,2,0,30,5,12,39,2,0,0.271484375,6.182795699
2069,2016,685026,565,Specialist retail center,24/05/2007,230430,0,2,3,54,15,975,81,487,660,0,0,0.189068898,13.52920354
2076,2016,462468,489,Specialist retail center,24/05/2007,6705,0,0,2,5,1,59,6,18,26,4,0,0.12741752,11.65644172
2073,2016,384423,307,Specialist retail center,08/06/2007,5960,0,0,0,2,0,26,3,12,20,0,0,0.260869565,9.283387622
2077,2016,411008,317,Specialist retail center,11/06/2007,24130,0,0,2,8,3,66,7,29,52,4,0,0.10559191,7.772870662
2078,2016,545688,371,Specialist retail center,14/06/2007,12987,0,0,0,5,2,47,4,24,84,0,0,0.23316913,6.835040431
2080,2016,363058,337,Specialist retail center,18/06/2007,4823,0,0,0,4,1,12,4,21,42,2,1,0.248962656,8.902077151
2074,2016,326039,334,Pedestrian zone,18/06/2007,72100,3,0,0,26,9,299,29,142,2238,11,3,0.138523761,7.035928144
2081,2016,375505,318,Specialist retail center,25/06/2007,70921,0,0,0,7,1,141,11,41,71,1,1,0.230104874,10.6163522
2082,2016,365867,377,Main shopping street,28/06/2007,83784,0,2,4,14,1,113,11,56,106,2,0,0.173125956,10.0795756
2086,2016,509763,375,Main shopping street,26/07/2007,6554,0,0,0,8,3,11,4,8,43,4,1,0.128240109,4.877333333
2079,2016,234677,381,Pedestrian zone,30/07/2007,218802,0,0,0,18,7,258,35,98,281,0,0,0.170111524,
2089,2016,353841,390,Specialist retail center,09/08/2007,19513,0,0,4,6,0,21,4,14,58,2,0,0.304385965,3.261538462
2083,2016,388353,294,Shopping center,16/08/2007,55809,0,0,0,5,0,59,10,30,137,1,0,0.093628594,13.51020408
2093,2016,321075,372,Pedestrian zone,30/08/2007,86237,0,0,0,10,1,327,15,106,210,3,0,0.288648349,9.408602151
2092,2016,282983,325,Specialist retail center,30/08/2007,14492,0,0,0,5,2,59,7,21,55,0,0,0.341426404,6.901538462
2094,2016,338812,300,Shopping center,03/09/2007,165847,0,2,2,25,8,481,28,178,612,4,2,0.178138374,9.907833333
2084,2016,360423,347,Outskirts / residential,10/09/2007,214548,10,2,6,59,32,523,54,257,888,2,1,0.231611608,11.52737752
2096,2016,344835,331,Pedestrian zone,10/09/2007,16425,0,0,2,5,1,70,12,28,42,2,0,0.094573025,7.854984894
2099,2016,253625,451,Pedestrian zone,10/09/2007,10934,0,0,1,4,2,82,5,31,65,4,2,0.20262759,4.898004435
2097,2016,260049,363,Specialist retail center,13/09/2007,21413,0,0,3,9,3,113,12,43,177,0,0,0.103931491,
2091,2016,361414,354,Main shopping street,17/09/2007,195459,0,4,4,71,45,1085,46,422,665,10,7,0.079396985,6.144067797
2098,2016,504626,514,Shopping center,24/09/2007,166809,3,3,7,19,10,297,34,99,325,3,2,0.060278063,6.329941634
2101,2016,434705,300,Specialist retail center,27/09/2007,8367,0,0,0,3,1,37,6,17,28,2,0,0.149741824,8.25
2102,2016,191831,319,Specialist retail center,27/09/2007,7763,0,0,0,4,2,36,5,13,34,0,0,0.191489362,
2104,2016,324193,273,Main shopping street,01/10/2007,16379,0,0,2,12,2,115,6,54,100,6,0,0.221405229,7.326007326
2107,2016,274063,397,Main shopping street,15/10/2007,61088,2,0,0,12,8,94,14,34,232,5,2,0.193174893,
