store_no,year,revenue,store_size,location_type,opening_date_first,population_within_5km,train_stations_within_500m,public_transport_stop_within_50m,public_transport_stop_within_100m,bank_atm_within_5km,atm_within_5km,shop_within_5km,supermarkets_within_5km,rest_cafe_pub_within_5km,parking_spaces_within_5km,bank_atm_within_500m,atm_within_500m,proportion_5th_income_quintile,monthly_rent_per_sqm
873,2016,293908,170,Main shopping street,21/10/1991,9690,0,0,0,3,1,55,4,30,46,2,0,0.169242658,
879,2016,338054,192,Outskirts / residential,04/11/1991,20873,0,1,4,3,0,49,4,14,85,1,0,0.247443763,
887,2016,213548,255,Main shopping street,11/11/1991,11269,0,0,0,3,0,65,8,22,98,0,0,0.243697479,
894,2016,184161,209,Main shopping street,12/11/1991,11238,0,0,0,7,2,32,4,14,60,4,2,0.291770574,
900,2016,254650,115,Pedestrian zone,14/11/1991,15735,0,0,3,4,1,29,4,30,55,3,0,0.136923077,
877,2016,305177,373,Specialist retail center,03/12/1991,3803,0,0,0,4,2,18,2,7,23,0,0,0.168269231,
909,2016,192288,340,Main shopping street,12/03/1992,8122,0,0,0,0,0,10,2,5,8,0,0,0.261682243,
915,2016,158077,148,Main shopping street,09/04/1992,15260,2,0,0,9,3,56,3,15,214,6,3,0.305019305,
916,2016,270157,221,Main shopping street,14/04/1992,5675,0,0,0,1,0,17,2,13,16,1,0,0.221884498,4.07239819
929,2016,327940,175,Main shopping street,25/05/1992,7815,0,0,0,2,0,26,3,4,27,2,0,0.123839009,8.571428571
947,2016,288593,195,Main shopping street,14/07/1992,43661,0,3,3,11,1,115,8,58,72,3,0,0.222145805,5.58974359
965,2016,476289,220,Pedestrian zone,25/07/1992,19773,2,0,0,9,3,139,10,68,112,4,1,0.243200631,19.68181818
962,2016,336785,330,Main shopping street,25/07/1992,16130,1,0,0,6,2,70,5,34,67,2,0,0.286980232,8.11969697
964,2016,324853,170,Outskirts / residential,25/07/1992,10905,0,0,0,5,3,74,8,29,69,4,2,0.17394958,9.117647059
973,2016,384525,285,Outskirts / residential,27/07/1992,30260,0,3,3,6,2,64,7,34,429,2,0,0.217105263,8.421052632
977,2016,399442,285,Outskirts / residential,01/10/1992,78270,0,0,0,9,2,116,9,38,161,4,2,0.302575107,5.614035088
981,2016,393063,335,Main shopping street,01/10/1992,9205,1,0,2,3,0,27,5,24,131,3,0,0.163172805,5
989,2016,373595,352,Pedestrian zone,22/10/1992,70010,2,0,0,21,8,467,22,140,371,4,0,0.213270907,7.102272727
997,2016,175813,130,Outskirts / residential,10/11/1992,94287,0,0,4,40,10,711,31,246,450,2,0,0.189471394,
621,2016,250313,231,Main shopping street,03/12/1992,6868,0,0,0,2,1,18,2,13,47,2,1,0.144611187,3.246753247
632,2016,324271,284,Pedestrian zone,10/12/1992,27738,2,0,0,6,0,95,4,42,118,4,0,0.200424178,5.809859155
995,2016,213403,100,Main shopping street,10/12/1992,504126,0,0,3,128,105,1304,126,1100,553,2,1,0.10362117,11
647,2016,373011,234,Main shopping street,04/02/1993,35061,1,0,1,9,0,98,10,48,73,4,0,0.235259434,2.564102564
645,2016,272924,261,Main shopping street,25/02/1993,9098,1,0,0,5,2,69,6,19,47,2,0,0.174311927,6.704980843
